Reference_ID,Variant_ID,Retrained_MMSplice_Predicted_Delta_Logit,True_Delta_Logit
53284,17783,0.0169212474774967,0.0819181823787268
53284,17784,-0.0414299539378346,-0.3767237737726396
53284,17785,0.1173462829633413,-0.0334665897736344
53284,17786,0.006836145671917,-0.2249559965643968
53284,17787,-0.0381956374452318,0.2874749840381437
53284,17788,-0.0308994421036066,-0.5634623373925085
53284,17789,-0.0131679768594111,-0.651976601354278
53284,17790,0.0057016531601177,-0.1661688598156804
53284,17791,0.0012990830232249,-0.1560347077785986
53284,17792,-0.0275387286693633,-0.711927396443539
53284,17793,-0.0226586458129276,-0.2799735014124322
53284,17794,-0.0777555109763897,0.3264459715632973
53284,17795,0.0156273076522503,-0.1736599286314939
53284,17796,0.0319429376138912,0.2576774075579265
53284,17797,0.0305257992700825,0.2043162648582106
53284,17798,0.0399861424344144,0.6931524078064049
53284,17799,-0.0281741487208713,-0.2043762161220998
53284,17800,0.0243914607265912,-0.5769536875152916
53284,17801,-0.0022980767985667,-0.2399392293150777
53284,17802,0.0349507583685217,-0.1413350016126504
53284,17803,0.0250054394974647,0.0921649176045574
53284,17804,0.0152963300937281,0.3493854615499684
53284,17805,-0.0238550929643501,-0.1490940420840521
53284,17806,-0.0237714601238645,-0.0977101985790734
53284,17807,-0.0550801128743113,-0.3995315446026327
53284,17808,0.2122721821799241,0.2256880405541798
53284,17809,0.0727348051742397,0.310801332709915
53284,17810,-0.0416019583583249,-0.653315655571309
53284,17811,-0.0572003836138667,0.3164504163586648
53284,17812,0.0898360353666244,-0.2036052047837741
53284,17813,0.1455134030908213,-0.39642783162643
53284,17814,-0.1761282304278863,-0.3996655009383709
53284,17815,-0.0273549341619624,0.3828115817239066
53284,17816,0.1138356265871702,-0.7678664138323762
53284,17817,-0.0175458922756422,-0.6698204008487175
53284,17818,0.056341637365366,-0.1567349052438043
53284,17819,0.146944898536161,-0.5699283451049435
53284,17820,-0.0644683128040994,0.0526844130142928
53284,17821,0.1939171727528821,-0.0699304816024898
53284,17822,-0.0379100080712403,-0.4147806032983048
53284,17823,0.1222816655780278,-0.2658676448713368
53284,17824,-0.0294874025821413,0.4923914830701868
53284,17825,-0.1174251284075035,-0.1760770591115811
53284,17826,-0.0324983278872813,-0.0928664205121425
53284,17827,0.1575423723626528,0.0081557885214858
53284,17828,0.121767477410749,-0.0475961750288321
53284,17829,-0.2888681688729919,-0.1678205509231395
53284,17830,0.265540018684579,-0.2628988336428726
53284,17831,0.3481309041040884,0.2793038957805955
53284,17832,0.0508391950603829,-0.3532119369222871
53284,17833,0.1389511943338356,-0.4392214318300794
53284,17834,-0.0393433795884908,0.3138410133091288
53284,17835,-0.199464141813227,-0.492183542868171
53284,17836,0.0175797777325759,-0.2748450806537699
53284,17837,0.2939229072323976,-0.1977951945873096
53284,17838,0.5542393133968675,0.1935830492331001
53284,17839,0.1446559693657027,-0.5536924370648855
53284,17840,0.2378704158285557,0.105768888123531
53284,17841,-0.0867889544938482,-0.6773370091599906
53284,17842,0.1110360159507046,-0.4684525574513287
53284,17843,-0.0582750471504534,-0.3818798351548651
53284,17844,-0.1717094208311285,-0.4374385999272771
53284,17845,0.119807949761747,-0.5355991594666101
53284,17846,-0.0661732033382381,-0.1198337286901394
53284,17847,-0.2662644149987782,-2.4780037764144534
53284,17848,0.1568146697262011,-0.4639879340935172
53284,17849,0.1780190938333951,-0.1207598119133535
53284,17850,-0.120406810482837,-0.7654226833727454
53284,17851,0.0024657213112841,-0.0772728812458021
53284,17852,0.2689038152943717,-1.0887083335511742
53284,17853,0.1558876850204216,0.1181233425560349
53284,17854,-0.2624133667338814,-1.2763602999921453
53284,17855,0.0226992337004862,0.2417164782909217
53284,17856,0.7073744976748548,0.5926706562439444
53284,17857,-0.0453867431322564,0.6095779774799674
53284,17858,0.2649403903488909,-0.2827470776930825
53284,17859,-0.3658420389436472,0.0270397365628188
53284,17860,-0.201896282416283,-0.5050202001514779
53284,17861,0.404686251313368,0.0854839050218931
53284,17862,-0.0322646799233378,-1.2395633895660327
53284,17863,-0.7810548878654135,-2.17112267679326
53284,17864,-0.2830158983962739,-0.4214333639551242
