UNIQUE ID,REFERENCE NAME,HGNC ID,EntrezGene official name (Human),EntrezGeneID (Human),EntrezGene Symbol (Human),EntrezGene Aliases (Human),EntrezGene Additional Names (Human),MGI ID,EntrezGeneofficial name (Mouse),EntrezGeneID (Mouse),EntrezGene Symbol (Mouse),EntrezGene Aliases (Mouse),EntrezGene Additional Names (Mouse),UniProtDB ID (Human),UniProt protein name (Human),UniProt protein alternative names (Human),UniProtID (Mouse),UniProt protein name (Mouse),UniProt protein alternative names (Mouse),MeSH ID,MeSH Name,Typographical variations,Shen-Orr ID,IX Synonyms,Protein Ontology ID,Protein Ontology name,Protein Ontology synonyms,Protein Ontology URL,OMIM ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_169,Tumor necrosis factor ligand superfamily member 14,HGNC:11930,"tumor necrosis factor (ligand) superfamily, member 14",8740,TNFSF14 ,LTg;TR2;CD258;HVEML;LIGHT;,ligand for herpesvirus entry mediator;herpesvirus entry mediator A;delta transmembrane LIGHT;tumor necrosis factor ligand superfamily member 14;herpesvirus entry mediatorligand;herpes virus entry mediator ligand;herpesvirus entry mediator ligand;tumor necrosis factor receptorlike 2;tumor necrosis factor superfamily member LIGHT;,MGI:1355317,"tumor necrosis factor (ligand) superfamily, member 14",50930,Tnfsf14 ,LTg;HVEML;LIGHT;Ly113;HVEM-L;,tumor necrosis factor ligand superfamily member 14;,TNF14_HUMAN,"Tumor necrosis factor ligand superfamily member 14, soluble form",Herpes virus entry mediator ligand;HVEM-L;Herpesvirus entry mediator ligand;,TNF14_MOUSE,"Tumor necrosis factor ligand superfamily member 14, soluble form",,D053326,Tumor Necrosis Factor Ligand Superfamily Member 14,,73,"tnfsf14;tumor necrosis factor ligand superfamily member 14;cd258;hveml;herpesvirus entry mediator ligand;herpes virus entry mediator ligand;hvem-l;tr2;light;ltg;tumor necrosis factor (ligand) superfamily, member 14;",PR:000002222,tumor necrosis factor ligand superfamily member 14,CD258;HVEM-L;herpes virus entry mediator ligand;TNFSF14;LIGHT;herpesvirus entry mediator ligand;HVEML;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002222,604520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_17,Chemokine CCL17,HGNC:10615,chemokine (C-C motif) ligand 17,6361,CCL17 ,TARC;ABCD-2;SCYA17;A-152E5.3;,"CC chemokine TARC;smallinducible cytokine A17;thymus and activationregulated chemokine;CC motif chemokine 17;small inducible cytokine subfamily A (CysCys), member 17;T celldirected CC chemokine;",MGI:1329039,chemokine (C-C motif) ligand 17,20295,Ccl17 ,Tarc;Abcd-2;Scya17;Scya17l;,chemokine (CC motif) ligand 17;small inducible cytokine subfamily A17;,CCL17_HUMAN,C-C motif chemokine 17,CC chemokine TARC;Small-inducible cytokine A17;Thymus and activation-regulated chemokine;,,,,D054414,Chemokine CCL17,C-C motif chemokine 17;CCL17;CCL-17;Chemokine CCL17;,221,ccl17;,PR:000001989,C-C motif chemokine 17,SCYA17;thymus and activation-regulated chemokine;small-inducible cytokine A17;CCL17;CC chemokine TARC;TARC;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001989,601520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_170,Tumor necrosis factor ligand superfamily member 15,HGNC:11931,"tumor necrosis factor (ligand) superfamily, member 15",9966,TNFSF15 ,TL1;TL1A;VEGI;VEGI192A;,TNF superfamily ligand TL1A;TNF ligandrelated molecule 1;tumor necrosis factor ligand superfamily member 15;vascular endothelial growth inhibitor192A;vascular endothelial cell growth inhibitor;,MGI:2180140,"tumor necrosis factor (ligand) superfamily, member 15",326623,Tnfsf15 ,Tl1;Tl1a;Vegi;,"vascular endothelial growth inhibitor;bM20K13.3 (tumor necrosis factor (ligand) superfamily, member 15);TNF ligandrelated molecule 1;tumor necrosis factor ligand superfamily member 15;vascular endothelial cell growth inhibitor;",TNF15_HUMAN,"Tumor necrosis factor ligand superfamily member 15, secreted form",TNF ligand-related molecule 1;Vascular endothelial cell growth inhibitor;,TNF15_MOUSE,Tumor necrosis factor ligand superfamily member 15,TNF ligand-related molecule 1;Vascular endothelial cell growth inhibitor;,D053380,Tumor Necrosis Factor Ligand Superfamily Member 15,,71,"tnfsf15;vascular endothelial growth inhibitor;mgc129935;mgc129934;tumor necrosis factor ligand superfamily member 15;vegi192a;vegi-192a;vegi;tl1;tnf ligand-related molecule 1;tl1a;tumor necrosis factor (ligand) superfamily, member 15;",PR:000002223,tumor necrosis factor ligand superfamily member 15,TL1;VEGI;TNFSF15;TNF ligand-related molecule 1;vascular endothelial cell growth inhibitor;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002223,604052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_171,Tumor necrosis factor ligand superfamily member 4,HGNC:11934,"tumor necrosis factor (ligand) superfamily, member 4",7292,TNFSF4 ,GP34;CD252;OX4OL;TXGP1;CD134L;OX-40L;,tumor necrosis factor ligand superfamily member 4;TAX transcriptionallyactivated glycoprotein 1;CD134 ligand;glycoprotein Gp34;taxtranscriptionally activated glycoprotein 1 (34kD);OX40L;OX40 antigen ligand;,MGI:104511,"tumor necrosis factor (ligand) superfamily, member 4",22164,Tnfsf4 ,Ath1;gp34;Ath-1;Ox40l;TXGP1;CD134L;OX-40L;Txgp1l;,taxtranscriptionally activated glycoprotein 1 ligand;tumor necrosis factor ligand superfamily member 4;atherosclerosis 1;OX40 ligand;,TNFL4_HUMAN,Tumor necrosis factor ligand superfamily member 4,Glycoprotein Gp34;OX40 ligand;OX40L;TAX transcriptionally-activated glycoprotein 1;,TNFL4_MOUSE,Tumor necrosis factor ligand superfamily member 4,OX40 ligand;OX40L;,D053278,OX40 Ligand,,63,"tnfsf4;txgp-1;tumor necrosis factor ligand superfamily member 4;glycoprotein gp34;ox40l;cd252;txgp1l;ox-40l;tax transcriptionally-activated glycoprotein 1;gp34;cd134l;tumor necrosis factor (ligand) superfamily, member 4;txgp1;ox40 ligand;",PR:000001949,tumor necrosis factor ligand superfamily member 4,Txgp1l;TNFSF4;TXGP1;glycoprotein Gp34;TAX transcriptionally-activated glycoprotein 1;CD252;OX40L;OX40 ligand;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001949,603594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_172,Tumor necrosis factor ligand superfamily member 8,HGNC:11938,"tumor necrosis factor (ligand) superfamily, member 8",944,TNFSF8 ,CD153;CD30L;CD30LG;,tumor necrosis factor ligand superfamily member 8;CD153 antigen;CD30 ligand;CD30 antigen ligand;CD30L;,MGI:88328,"tumor necrosis factor (ligand) superfamily, member 8",21949,Tnfsf8 ,CD153;Cd30l;CD30LG;,tumor necrosis factor ligand superfamily member 8;CD30 ligand;CD30L;,TNFL8_HUMAN,Tumor necrosis factor ligand superfamily member 8,CD30 ligand;CD30-L;,TNFL8_MOUSE,Tumor necrosis factor ligand superfamily member 8,CD30 ligand;CD30-L;,D053285,CD30 Ligand,,57,"tnfsf8;cd30lg;tumor necrosis factor (ligand) superfamily, member 8;cd30 ligand;cd30l;tumor necrosis factor ligand superfamily member 8;mgc138144;cd153;cd30-l;",PR:000001404,tumor necrosis factor ligand superfamily member 8,TNFSF8;CD30-L;CD153;CD30LG;CD30 ligand;CD30L;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001404,603875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_173,Tumor necrosis factor ligand superfamily member 9,HGNC:11939,"tumor necrosis factor (ligand) superfamily, member 9",8744,TNFSF9 ,CD137L;4-1BB-L;,receptor 41BB ligand;41BB ligand;41BBL;tumor necrosis factor ligand superfamily member 9;homolog of mouse 41BBL;,MGI:1101058,"tumor necrosis factor (ligand) superfamily, member 9",21950,Tnfsf9,Ly63l;4-1BBL;Cd137l;4-1BB-L;AI848817;,tumor necrosis factor ligand superfamily member 9;4-1BB ligand;,TNFL9_HUMAN,Tumor necrosis factor ligand superfamily member 9,4-1BB ligand;4-1BBL;,TNFL9_MOUSE,Tumor necrosis factor ligand superfamily member 9,4-1BB ligand;4-1BBL;,D053330,4-1BB Ligand,,61,"tnfsf9;cd157l;ly63l;4-1bb-l;4-1bbl;41bb-l;41bbl;tumor necrosis factor ligand superfamily member 9;cd137l;tumor necrosis factor (ligand) superfamily, member 9;",PR:000016489,tumor necrosis factor ligand superfamily member 9,Cd137l;4-1BBL;4-1BB ligand;Ly63l;Cd157l;TNFSF9;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000016489,606182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_174,Tumor Necrosis Factor-alpha,HGNC:11892,tumor necrosis factor,7124,TNF ,DIF;TNFA;TNFSF2;TNF-alpha;,"TNFa;TNF, monocytederived;APC1 protein;cachectin;tumor necrosis factor;TNF, macrophagederived;tumor necrosis factor ligand superfamily member 2;tumor necrosis factoralpha;",MGI:104798,tumor necrosis factor,21926,Tnf ,DIF;Tnfa;TNF-a;TNFSF2;Tnfsf1a;TNFalpha;TNF-alpha;,cachectin;tumor necrosis factor;tumor necrosis factor ligand superfamily member 2;tumor necrosis factoralpha;,TNFA_HUMAN,"Tumor necrosis factor, soluble form",Cachectin;TNF-alpha;Tumor necrosis factor ligand superfamily member 2;TNF-a;N-terminal fragment;NTF;ICD1;ICD2;,TNFA_MOUSE,"Tumor necrosis factor, soluble form",Cachectin;TNF-alpha;Tumor necrosis factor ligand superfamily member 2;TNF-a;N-terminal fragment;NTF;ICD1;ICD2;,D014409,Tumor Necrosis Factor-alpha,TNF;TNF a;TNF alpha;TNF-a;TNF-alpha;Tumor Necrosis Factor-alpha;tumor necrosis factor alpha;,49,TNF_alpha;tnf alpha;tnfa;tumor necrosis factor ligand superfamily member 2;tumor necrosis factor-{alpha};tnfalpha;tumor necrosis factor alpha;tumor necrosis factor{alpha};tnf-alpha;tnf-{alpha};tumor necrosis factor-alpha;tnf-a;tnf{alpha};cachectin;tnfsf2;tnf {alpha};tumor necrosis factor {alpha};,PR:000000134,tumor necrosis factor alpha,TNFSF2;cachectin;tumor necrosis factor ligand superfamily member 2;TNF-alpha;TNFA;TNF-a;TNF;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000000134,191160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_175,Tumor Necrosis Factors,,,,,,,,,,,,,,,,,,,D048069,Tumor Necrosis Factors,Tumor Necrosis Factors;,47,Tumor_Necrosis_Factors;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_176,XCL-1,HGNC:10645,chemokine (C motif) ligand 1,6375,XCL1 ,LTN;ATAC;LPTN;SCM1;SCM-1;SCM1A;SCYC1;SCM-1a;,"small inducible cytokine subfamily C, member 1 (lymphotactin);lymphotaxin;lymphotactin;smallinducible cytokine C1;c motif chemokine 1;SCM1alpha;cytokine SCM1;XC chemokine ligand 1;single cysteine motif 1a;",MGI:104593,chemokine (C motif) ligand 1,16963,Xcl1 ,LTN;ATAC;Lptn;SCM-1;Scyc1;SCM-1a;AI661682;,"small inducible cytokine subfamily C, member 1 (lymphotactin);lymphotaxin;lymphotactin;smallinducible cytokine C1;c motif chemokine 1;cytokine SCM1;",XCL1_HUMAN,Lymphotactin,ATAC;C motif chemokine 1;Cytokine SCM-1;Lymphotaxin;SCM-1-alpha;Small-inducible cytokine C1;XC chemokine ligand 1;,XCL1_MOUSE,Lymphotactin,C motif chemokine 1;Cytokine SCM-1;Lymphotaxin;Small-inducible cytokine C1;,,,,303,xcl-1;xcl1;ltn;c motif chemokine 1;lymphotactin;chemokine (c motif) ligand 1;scm1;small-inducible cytokine c1;cytokine scm-1;scm1a;scm-1-alpha;atac;lymphotactin-like chemokine;scyc1;scm-1;scm-1a;lptn;xc chemokine ligand 1;,PR:000002140,lymphotactin,lymphotactin ATAC;C motif chemokine 1;LTN;Lptn;SCM-1-alpha;SCYC1;XC chemokine ligand 1;XCL1PRO-short-label;cytokine SCM-1;lymphotaxin;small-inducible cytokine C1;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002140,600250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_177,XCL-2,HGNC:10646,chemokine (C motif) ligand 2,6846,XCL2 ,SCM1B;SCYC2;SCM-1b;,"c motif chemokine 2;cytokine SCM1 beta;XC chemokine ligand 2;small inducible cytokine subfamily C, member 2;",,,,,,,XCL2_HUMAN,Cytokine SCM-1 beta,C motif chemokine 2;XC chemokine ligand 2;,,,,,,,301,xcl-2;,PR:000002138,cytokine SCM-1 beta,cytokine SCM-1 beta;C motif chemokine 2;SCYC2;XC chemokine ligand 2;XCL2;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000002138,604828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_178,Fas,HGNC:11920,Fas cell surface death receptor,355,FAS,RP11-399O19.7;ALPS1A;APO-1;APT1;CD951;FASTM;TNFRSF6;FAS;,"APO-1 cell surface antigen;CD95 antigen;Delta Fas/APO-1/CD95;FAS 827dupA;FAS receptor variant 9;FASLG receptor;Fas (TNF receptor superfamily, member 6);Fas AMA;TNF receptor superfamily member 6;apoptosis antigen 1;apoptosis-mediating surface antigen FAS;tumor necrosis factor receptor superfamily member 6;tumor necrosis factor receptor superfamily, member 6;",MGI:95484,Fas (TNF receptor superfamily member 6),14102,Fas,AI196731;APO1;APT1;CD95;TNFR6;Tnfrsf6;lpr;,FASLG receptor;Fas (TNF receptor superfamily member);Fas antigen;apo-1 antigen;apoptosis-mediating surface antigen FAS;lymphoproliferation;tumor necrosis factor receptor superfamily member 6;,TNR6_HUMAN,Tumor necrosis factor receptor superfamily member 6,Apo-1 antigen;Apoptosis-mediating surface antigen FAS;FASLG receptor;,TNR6_MOUSE,Tumor necrosis factor receptor superfamily member 6,Apo-1 antigen;Apoptosis-mediating surface antigen FAS;FASLG receptor;,,,,,,PR:000001962,tumor necrosis factor receptor superfamily member 6,APT1;CD95;FASPRO-short-label;FAS1;FASLG receptor;TNFRSF6;apo-1 antigen;apoptosis-mediating surface antigen FAS;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001962,134637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_179,BCMA,HGNC:11913,"tumor necrosis factor receptor superfamily, member 17",608,TNFRSF17,BCM;BCMA;CD269;TNFRSF13A;,B cell maturation antigen;B-cell maturation factor;B-cell maturation protein;tumor necrosis factor receptor superfamily member 17;,MGI:1343050,"tumor necrosis factor receptor superfamily, member 17",21935,Tnfrsf17,BCM;BCMA;Tnfrsf13;Tnfrsf13a;,,TNR17_HUMAN,Tumor necrosis factor receptor superfamily member 17,B-cell maturation protein;,TNR17_MOUSE,Tumor necrosis factor receptor superfamily member 17,B-cell maturation protein;,,,,,,PR:000001406,tumor necrosis factor receptor superfamily member 17,B-cell maturation protein;BCM;BCMA;CD269;TNFRSF17;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001406,109545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_18,Chemokine CCL18,HGNC:10616,chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated),6362,CCL18 ,CKb7;PARC;AMAC1;DCCK1;MIP-4;AMAC-1;DC-CK1;SCYA18;,"dendritic cell chemokine 1;smallinducible cytokine A18;CC chemokine ligand 18;chemokine (CC), dendritic;small inducible cytokine A18;alternative macrophage activationassociated CC chemokine 1;pulmonary and activationregulated chemokine;CC motif chemokine 18;small inducible cytokine subfamily A (CysCys), member 18, pulmonary and activationregulated;macrophage inflammatory protein 4;CC chemokine PARC;",,,,,,,CCL18_HUMAN,CCL18(4-69),Alternative macrophage activation-associated CC chemokine 1;AMAC-1;CC chemokine PARC;Dendritic cell chemokine 1;DC-CK1;Macrophage inflammatory protein 4;MIP-4;Pulmonary and activation-regulated chemokine;Small-inducible cytokine A18;,,,,,,,257,ccl-18;,PR:000001990,C-C motif chemokine 18,pulmonary and activation-regulated chemokine;dendritic cell chemokine 1;AMAC-1;MIP4;alternative macrophage activation-associated CC chemokine 1;PARC;DCCK1;AMAC1;macrophage inflammatory protein 4;CC chemokine PARC;SCYA18;MIP-4;small-inducible cytokine A18;DC-CK1;CCL18;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001990,603757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_180,CXCR5,HGNC:1060,chemokine (C-X-C motif) receptor 5,643,CXCR5,BLR1;CD185;MDR15;,"Burkitt lymphoma receptor 1, GTP binding protein (chemokine (C-X-C motif) receptor 5);Burkitt lymphoma receptor 1, GTP-binding protein;C-X-C chemokine receptor type 5;CXC-R5;CXCR-5;MDR-15;monocyte-derived receptor 15;",MGI:103567,chemokine (C-X-C motif) receptor 5,12145,Cxcr5,Blr1;CXC-R5;CXCR-5;Gpcr6;MDR15;,C-X-C chemokine receptor type 5;burkitt lymphoma receptor 1 homolog;chemochine (C-X-C motif) receptor 5;,CXCR5_HUMAN,C-X-C chemokine receptor type 5,CXC-R5;CXCR-5;Burkitt lymphoma receptor 1;Monocyte-derived receptor 15;MDR-15;,CXCR5_MOUSE,C-X-C chemokine receptor type 5,CXC-R5;CXCR-5;Burkitt lymphoma receptor 1 homolog;,,,,,,PR:000001209,C-X-C chemokine receptor type 5,monocyte-derived receptor 15;chemokine receptor CXCR5;Gpcr6;BLR1;MDR15;MDR-15;CXCR-5;CXC-R5;burkitt lymphoma receptor 1;CXCR5;burkitt lymphoma receptor 1 homolog;CD185;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001209,601613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_181,CD4,HGNC:1678,CD4 molecule,920,CD4,CD4mut;,CD4 antigen (p55);CD4 receptor;T-cell surface antigen T4/Leu-3;T-cell surface glycoprotein CD4;,MGI:88335,CD4 antigen,12504,Cd4,L3T4;Ly-4;,T-cell differentiation antigen L3T4;T-cell surface antigen T4/Leu-3;T-cell surface glycoprotein CD4;T-cell surface glycoprotein CD4 precursor (T-cell surface antigen T4/Leu-3) (T-cell differentiation antigen L3T4);,CD4_HUMAN,T-cell surface glycoprotein CD4,T-cell surface antigen T4/Leu-3;,CD4_MOUSE,T-cell surface glycoprotein CD4,T-cell differentiation antigen L3T4;T-cell surface antigen T4/Leu-3;,,,,,,PR:000001004,CD4 molecule,T-cell differentiation antigen L3T4;CD4;T-cell surface glycoprotein CD4;T-cell surface antigen T4/Leu-3;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001004,186940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_182,CD27,HGNC:11922,CD27 molecule,939,CD27,S152;S152. LPFS2;T14;TNFRSF7;Tp55;,"CD27 antigen;CD27L receptor;T cell activation antigen S152;T-cell activation antigen CD27;tumor necrosis factor receptor superfamily, member 7;",MGI:88326,CD27 antigen,21940,Cd27,S152;Tnfrsf7;Tp55;,"CD antigen 27;CD27L receptor;T-cell activation antigen CD27;tumor necrosis factor receptor superfamily member 7;tumor necrosis factor receptor superfamily, member 7;",CD27_HUMAN,CD27 antigen,CD27L receptor;T-cell activation antigen CD27;T14;Tumor necrosis factor receptor superfamily member 7;,CD27_MOUSE,CD27 antigen,CD27L receptor;T-cell activation antigen CD27;Tumor necrosis factor receptor superfamily member 7;,,,,,,PR:000001963,CD27 molecule,TNFRSF7;T-cell activation antigen CD27;CD27L receptor;CD27;T14;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001963,186711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_183,CD30,HGNC:11923,"tumor necrosis factor receptor superfamily, member 8",943,TNFRSF8,CD30;D1S166E;Ki-1;,CD30L receptor;Ki-1 antigen;cytokine receptor CD30;lymphocyte activation antigen CD30;tumor necrosis factor receptor superfamily member 8;,MGI:99908,"tumor necrosis factor receptor superfamily, member 8",21941,Tnfrsf8,RP23-306F22.1;Cd30;D1S166E;Ki;Ki-1;,CD30L receptor;lymphocyte activation antigen CD30;tumor necrosis factor receptor superfamily member 8;,TNR8_HUMAN,Tumor necrosis factor receptor superfamily member 8,CD30L receptor;Ki-1 antigen;Lymphocyte activation antigen CD30;,TNR8_MOUSE,Tumor necrosis factor receptor superfamily member 8,CD30L receptor;Lymphocyte activation antigen CD30;,,,,,,PR:000001964,tumor necrosis factor receptor superfamily member 8,lymphocyte activation antigen CD30;TNFRSF8;CD30;D1S166E;Ki-1 antigen;CD30L receptor;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001964,153243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_184,CD40,HGNC:11919,"CD40 molecule, TNF receptor superfamily member 5",958,CD40,Bp50;CDW40;TNFRSF5;p50;,"B cell surface antigen CD40;B cell-associated molecule;B-cell surface antigen CD40;CD40 antigen (TNF receptor superfamily member 5);CD40 type II isoform;CD40L receptor;nerve growth factor receptor-related B-lymphocyte activation molecule;tumor necrosis factor receptor superfamily member 5;tumor necrosis factor receptor superfamily, member 5;",MGI:88336,CD40 antigen,21939,Cd40,RP23-428M13.1;AI326936;Bp50;GP39;HIGM1;IGM;IMD3;T-BAM;TRAP;Tnfrsf5;p50;,"B-cell surface antigen CD40;CD40L receptor;T-cell differentiation antigen;tumor necrosis factor receptor superfamily member 5;tumor necrosis factor receptor superfamily, member 5;",TNR5_HUMAN,Tumor necrosis factor receptor superfamily member 5,B-cell surface antigen CD40;Bp50;CD40L receptor;CDw40;,TNR5_MOUSE,Tumor necrosis factor receptor superfamily member 5,B-cell surface antigen CD40;Bp50;CD40L receptor;,,,,,,PR:000001961,tumor necrosis factor receptor superfamily member 5,CD40;B-cell surface antigen CD40;CD40L receptor;TNFRSF5;CDw40;Bp50;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001961,109535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_185,CCR1,HGNC:1602,chemokine (C-C motif) receptor 1,1230,CCR1,CD191;CKR-1;CKR1;CMKBR1;HM145;MIP1aR;SCYAR1;,C-C CKR-1;C-C chemokine receptor type 1;CC-CKR-1;CCR-1;LD78 receptor;MIP-1alpha-R;RANTES receptor;RANTES-R;macrophage inflammatory protein 1-alpha receptor;,MGI:104618,chemokine (C-C motif) receptor 1,12768,Ccr1,Cmkbr1;Mip-1a-R;,C-C CKR-1;C-C chemokine receptor type 1;CC-CKR-1;CCR-1;MIP-1 alpha R;MIP-1 alphaR;MIP-1alpha-R;RANTES-R;chemokine (C-C) receptor 1;macrophage inflammatory protein 1-alpha receptor;,CCR1_HUMAN,C-C chemokine receptor type 1,C-C CKR-1;CC-CKR-1;CCR-1;CCR1;HM145;LD78 receptor;Macrophage inflammatory protein 1-alpha receptor;MIP-1alpha-R;RANTES-R;,CCR1_MOUSE,C-C chemokine receptor type 1,C-C CKR-1;CC-CKR-1;CCR-1;CCR1;Macrophage inflammatory protein 1-alpha receptor;MIP-1alpha-R;RANTES-R;,,,,,,PR:000001254,chemokine receptor CCR1,HM145;CCR-1;RANTES-R;CD191;CMKBR1;CC-CKR-1;LD78 receptor;macrophage inflammatory protein 1-alpha receptor;C-C CKR-1;CCR1;MIP-1alpha-R;SCYAR1;CMKR1;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001254,601159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_186,CCR3,HGNC:1604,chemokine (C-C motif) receptor 3,1232,CCR3,CC-CKR-3;CD193;CKR3;CMKBR3;,C-C CKR-3;C-C chemokine receptor type 3;CC chemokine receptor 3;CCR-3;b-chemokine receptor;eosinophil CC chemokine receptor 3;eosinophil eotaxin receptor;,MGI:104616,chemokine (C-C motif) receptor 3,12771,Ccr3,CC-CKR3;CKR3;Cmkbr1l2;Cmkbr3;,"C-C CKR-3;CC chemokine receptor 3;CC-CKR-3;CCR-3;MIP-1 alpha RL2;MIP-1 alphaRL2;chemokine (C-C) receptor 1,-like 2;chemokine (C-C) receptor 3;macrophage inflammatory protein 1-alpha receptor-like 2;probable C-C chemokine receptor type 3;",CCR3_HUMAN,C-C chemokine receptor type 3,C-C CKR-3;CC-CKR-3;CCR-3;CCR3;CKR3;Eosinophil eotaxin receptor;,CCR3_MOUSE,Probable C-C chemokine receptor type 3,C-C CKR-3;CC-CKR-3;CCR-3;CCR3;CKR3;Macrophage inflammatory protein 1-alpha receptor-like 2;MIP-1 alpha RL2;,,,,,,PR:000001255,chemokine receptor CCR3,Cmkbr1l2;C-C CKR-3;eosinophil eotaxin receptor;MIP-1 alpha RL2;CKR3;CMKBR3;macrophage inflammatory protein 1-alpha receptor-like 2;CC-CKR-3;CCR-3;CCR3;CD193;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001255,601268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CID_187,CCR4,HGNC:1605,chemokine (C-C motif) receptor 4 ,1233,CCR4,CC-CKR-4;CD194;CKR4;CMKBR4;ChemR13;HGCN:14099;K5-5;,C-C CKR-4;C-C chemokine receptor type 4;CCR-4;chemokine (C-C) receptor 4;,MGI:107824,chemokine (C-C motif) receptor 4,12773,Ccr4,C-C CKR-4;CHEMR1;Cmkbr4;LESTR;Sdf1r;,C-C chemokine receptor type 4;chemokine (C-C) receptor 4;fusin;leukocyte-expressed seven-transmembrane-domain receptor;,CCR4_HUMAN,C-C chemokine receptor type 4,C-C CKR-4;CC-CKR-4;CCR-4;CCR4;K5-5;,CCR4_MOUSE,C-C chemokine receptor type 4,C-C CKR-4;CC-CKR-4;CCR-4;CCR4;,,,,,,PR:000001200,C-C chemokine receptor type 4,CMKBR4;CD194;K5-5;chemokine receptor CCR4;C-C CKR-4;CCR-4;CCR4;CC-CKR-4;,http://pir.georgetown.edu/cgi-bin/pro/entry_pro?id=PR:000001200,604836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
